price	consump
9.485	39.375
10.163	37.607
11.426	35.254
11.566	35.714
10.713	37.513
9.798	42.120
9.385	43.464
8.319	47.550
8.506	50.091
7.290	52.375
7.855	50.752
7.646	55.790
7.423	51.724
8.054	55.679
9.550	50.821
7.526	51.924
5.875	65.095
5.718	62.607
6.371	63.174
5.886	65.402
6.017	62.194
6.867	61.367
6.823	63.672
7.410	60.502
6.559	61.682
6.488	64.623
6.313	67.646
5.304	71.694
5.521	69.836
5.681	74.308
6.112	69.342
4.962	74.048
4.843	75.977
5.447	79.393
5.069	79.760
5.126	80.710
5.626	79.542
5.092	81.937
4.278	86.237
4.779	85.406
5.504	85.117
5.403	80.777
4.329	80.210
4.017	75.075
4.349	86.197
5.018	85.215
4.222	84.373
3.962	103.049
5.481	95.292
5.161	95.357
3.448	106.672
3.625	108.244
4.047	99.690
3.743	102.872
3.442	106.376
